"Comment","User","ReplyCount","LikeCount","PublishTime","CommentId","ParentID","ReplyToAnotherUser","VideoID"
"Aapke vedios Dekhne ke baad mn krta hai ki Ek Short Point notes bnau..Aur wo Jitne bhi Gwar modi bhkts hai Aur jb wo argue krte hai unko jwab du..ftt jaayegi unki","Ashish Ganguly","0","0","2019-09-17T05:47:38.000Z","UgzqqIECFwx6MoD1kQx4AaABAg","None","FALSE","6sbPGzrXbts"
"<U+092C><U+093E><U+0924> <U+0924><U+094B> <U+0938><U+0939><U+0940> <U+0939><U+0948> <U+092A><U+0930> <U+0906><U+092A> <U+0915><U+0940> <U+0938><U+0915><U+0932> <U+092E><U+093E><U+0926><U+0930><U+091A><U+094B><U+0926> <U+0932><U+0917><U+0924><U+0940> <U+0939><U+0948>","meme hub","0","0","2019-09-17T04:28:44.000Z","UgyRiVNqJ4OrxWVlSXd4AaABAg","None","FALSE","6sbPGzrXbts"
"seriously it's wastage of money.u r grt person","khushbu kumari","0","0","2019-09-17T04:28:14.000Z","UgyBFS9Fba4KrwiFv-14AaABAg","None","FALSE","6sbPGzrXbts"
"What ?  Wow! cost of this is 3000 crore! And, cost of Chandrayaan 2 is approximately 978 crore.","Dinesh Sachdev","0","0","2019-09-17T01:41:11.000Z","Ugzt1csIhfNMcmkoA7J4AaABAg","None","FALSE","6sbPGzrXbts"
"https://youtu.be/xxNNWpCgRF8","omnamaha 052","0","0","2019-09-16T21:42:41.000Z","UgwT4gq6LdUILgPwfEt4AaABAg","None","FALSE","6sbPGzrXbts"
"Paheli bat vo statue nahi hei sardar patel hei tere ko pata bhi hei vo kon hei?? Unki vajah se hi ek bharat ban paya hei sirf ek kasmir naheru ko diya to.. sabko pata hi hei, or vo Gujrat k the gujrat ki an ban or shan to statue to ban na hi tha Gujrat mei. Or gujrat mei bhi sardar sarovar dam! Tu ek bar ja or gum k aa pata chale tere ko,vaha k letest photoes dekh pata chalega","Kunj Patel","0","0","2019-09-16T21:06:03.000Z","UgxvQst_dA2ZFBYSE5l4AaABAg","None","FALSE","6sbPGzrXbts"
"Chai wala aya hai tu sikke nikal ... Chai wala aya h tu sikke nikal...","ArSh Gaming","0","1","2019-09-16T20:44:38.000Z","UgyDpV_Rh0goWZgzQZp4AaABAg","None","FALSE","6sbPGzrXbts"
"There are several comments that a well educated man like Dhruv in needed in politics. Then why vote for a selfish uneducated man as our PM.","Feleina Ramesh","0","0","2019-09-16T20:17:34.000Z","Ugzm30iU-mOOlJVVdy14AaABAg","None","FALSE","6sbPGzrXbts"
"Overall analysis is properly done by Dhruv rathee to collect such information it needs lots of sacrifice and time. Instead Making a Library was better option for govt and btw rathee keep going....","Sahil Kalekar","0","0","2019-09-16T19:30:05.000Z","UgzrCg0g8lPUZLuU_MB4AaABAg","None","FALSE","6sbPGzrXbts"
"U nailed it bro.#modigovernmentsucks","jaskaran maan","0","0","2019-09-16T18:33:47.000Z","UgwebZp27QACyAfkXed4AaABAg","None","FALSE","6sbPGzrXbts"
"itna bhi negative nhi h y statue bhai , there are also some positive things about statue","Abhay Kushwaha","0","0","2019-09-16T18:15:38.000Z","Ugx6qkJKlzqSbNBVT7Z4AaABAg","None","FALSE","6sbPGzrXbts"
"Dhruv just stop making these absurd videos
Plz do some work which may help the poors of the nation
Don't spread your fake personal ideas","Shivam Pandey","0","1","2019-09-16T17:28:19.000Z","Ugy15Aok8cF1ZfHn6B14AaABAg","None","FALSE","6sbPGzrXbts"
"Bhai tu pm ban ja","Abhay verma","1","3","2019-09-16T16:59:06.000Z","UgyNnA0hKHFL3e-xcX94AaABAg","None","FALSE","6sbPGzrXbts"
"Kuch bi kare tu nikalega galti.","ranjitkumar sahoo","0","0","2019-09-16T16:48:21.000Z","UgzmQEQd20y_hTDbOTl4AaABAg","None","FALSE","6sbPGzrXbts"
"Bhai tuta paka modi haters hei<U+0001F61B><U+0001F61B><U+0001F61B>","ranjitkumar sahoo","0","0","2019-09-16T16:47:23.000Z","UgyecOaf0K7idlteaDh4AaABAg","None","FALSE","6sbPGzrXbts"
"bohut heard","Aashish Soni","0","0","2019-09-16T16:29:38.000Z","UgxXaqdEGRSWgHaNMKF4AaABAg","None","FALSE","6sbPGzrXbts"
"Chhhoti soch","Manita Bajpai","0","0","2019-09-16T15:20:36.000Z","UgxoNa0lwwfOqDe2kl54AaABAg","None","FALSE","6sbPGzrXbts"
"Bekoofiat<U+0001F44E><U+0001F44E><U+0001F44E>","Manita Bajpai","0","0","2019-09-16T15:20:15.000Z","UgxSdJQetmicuY2z3RV4AaABAg","None","FALSE","6sbPGzrXbts"
"*<U+092D><U+093E><U+0908> <U+0926><U+0941><U+0928><U+093F><U+092F><U+093E> <U+092E><U+0947><U+0902> <U+092D><U+094C><U+0902><U+0915><U+0928><U+093E> <U+0938><U+092C><U+0938><U+0947> <U+091C><U+092C><U+0938><U+0947> <U+091C><U+094D><U+092F><U+093E><U+0926><U+093E> <U+0906><U+0938><U+093E><U+0928> <U+0939><U+0948>, <U+092F><U+0947> <U+0924><U+0942><U+0928><U+0947> <U+092C><U+0947><U+0939><U+0926> <U+0939><U+0940> <U+0905><U+091A><U+094D><U+091B><U+0947> <U+0924><U+0930><U+0940><U+0915><U+0947> <U+0938><U+0947> <U+0938><U+093F><U+0926><U+094D><U+0927> <U+0915><U+0930> <U+0926><U+093F><U+092F><U+093E>,* <U+263A><U+FE0F><U+0001F60A>","Abhishek Saraswat","0","0","2019-09-16T15:17:45.000Z","UgyDsDSUgtHVSH9ifNt4AaABAg","None","FALSE","6sbPGzrXbts"
"Sardar Patel ki aatma bhi dukhe ho rahe hoge bhakto ki iss chutiyapa se","Suraj Rathod","0","0","2019-09-16T13:53:45.000Z","Ugy1zw_cVyxnE00m4N54AaABAg","None","FALSE","6sbPGzrXbts"
"OUR GOVERNMENT GONNA MAD","John Stark","0","0","2019-09-16T13:21:43.000Z","UgyhWycOn3FMye2GX5d4AaABAg","None","FALSE","6sbPGzrXbts"
"Hamari Country me ye politicians faltu ki cheejo me money barbad karte hai.
3000 crores se inko road banani chahia and education me invest karne chahia but ye sab apni party  
ko famous karne k Lia ye sab karte hai. I hate politicians","Always fun time","0","2","2019-09-16T13:03:37.000Z","UgweMgW5SrGt8_o3sEV4AaABAg","None","FALSE","6sbPGzrXbts"
"<U+0935><U+0948><U+0938><U+0947> <U+0924><U+094B> <U+0924><U+0941><U+092E><U+094D><U+0939><U+0947><U+0902> <U+0924><U+0941><U+092E><U+094D><U+0939><U+093E><U+0930><U+0940> <U+092E><U+093E><U+0902> <U+0928><U+0947> <U+092A><U+0948><U+0926><U+093E> <U+0915><U+0930><U+0915><U+0947> <U+092D><U+0940> <U+0917><U+0932><U+0924><U+0940> <U+0915><U+0930><U+0924><U+0940> <U+0939><U+0948> <U+0915><U+094D><U+092F><U+094B><U+0902><U+0915><U+093F> <U+0907><U+0938> <U+0926><U+0947><U+0936> <U+0915><U+0940> <U+091C><U+0928> <U+0938><U+0902><U+0916><U+094D><U+092F><U+093E> <U+092C><U+0922><U+093C><U+093E> <U+0926><U+0940> <U+0939><U+0948> <U+0924><U+0941><U+092E><U+094D><U+0939><U+0947><U+0902> <U+092A><U+0948><U+0926><U+093E> <U+0915><U+0930><U+0915><U+0947> <U+091C><U+094B> <U+0917><U+0932><U+0924> <U+0915><U+093F><U+092F><U+093E> <U+0939><U+0948> <U+092D><U+093E><U+0908> <U+091C><U+094B> <U+0935><U+094D><U+092F><U+0915><U+094D><U+0924><U+093F> <U+0907><U+0938> <U+0926><U+0947><U+0936> <U+0915><U+093E> <U+092A><U+094D><U+0930><U+0925><U+092E> <U+092A><U+094D><U+0930><U+0927><U+093E><U+0928><U+092E><U+0902><U+0924><U+094D><U+0930><U+0940> <U+0939><U+094B><U+0928><U+093E> <U+0925><U+093E> <U+0909><U+0938><U+0947> <U+0924><U+0941><U+092E><U+0928><U+0947> <U+0915><U+0941><U+091B> <U+0928><U+0939><U+0940><U+0902> <U+0926><U+093F><U+092F><U+093E> <U+0906><U+091C><U+093E><U+0926><U+0940> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+0909><U+0938><U+0915><U+093E> <U+0928><U+093E><U+092E> <U+092D><U+0940> <U+0924><U+0941><U+092E><U+0928><U+0947> <U+0907><U+0938> <U+0926><U+0947><U+0936> <U+0915><U+0940> <U+091C><U+0928><U+0924><U+093E> <U+0935><U+0939> <U+0928><U+0939><U+0940><U+0902> <U+092C><U+0924><U+093E><U+092F><U+093E> <U+092A><U+0942><U+0930><U+0947> <U+0917><U+0926><U+094D><U+0926><U+093E><U+0930> <U+0915><U+094B> <U+0907><U+0938> <U+0926><U+0947><U+0936> <U+0915><U+093E> <U+092A><U+094D><U+0930><U+0925><U+092E> <U+092A><U+094D><U+0930><U+0927><U+093E><U+0928><U+092E><U+0902><U+0924><U+094D><U+0930><U+0940> <U+092C><U+0928><U+093E> <U+0926><U+093F><U+092F><U+093E> <U+0914><U+0930> <U+0924><U+0941><U+092E> <U+0915><U+093E><U+0902><U+0917><U+094D><U+0930><U+0947><U+0938> <U+092A><U+093E><U+0930><U+094D><U+091F><U+0940> <U+0915><U+0940> <U+091A><U+093E><U+092A><U+0932><U+0942><U+0938><U+0940> <U+0915><U+0930> <U+0909><U+0938><U+0915><U+0947> <U+0924><U+0932><U+0935><U+0947> <U+091A><U+093E><U+091F> <U+0930><U+0939><U+0947> <U+0939><U+094B> <U+0936><U+0930><U+094D><U+092E> <U+0906><U+0928><U+0940> <U+091A><U+093E><U+0939><U+093F><U+090F> <U+0924><U+0941><U+092E> <U+091C><U+0948><U+0938><U+0947> <U+0917><U+0926><U+094D><U+0926><U+093E><U+0930><U+094B><U+0902> <U+0915><U+094B>","manish patidar","0","0","2019-09-16T12:10:58.000Z","Ugyb5__Xonj2TqxOM9x4AaABAg","None","FALSE","6sbPGzrXbts"
"Sir  rajeev dixit ke bare me aapka kya ray hai","ravi yadav","0","0","2019-09-16T10:48:49.000Z","UgwYhiwuz4QZDAwq9bJ4AaABAg","None","FALSE","6sbPGzrXbts"
"bhart vasiyo ko..Sachi news batane wale..dhurv rathee ko # <U+092D><U+093E><U+0930><U+0924> <U+0930><U+0924><U+094D><U+0928> <U+092E><U+093F><U+0932><U+0928><U+093E> <U+091A><U+093E><U+0939><U+093F><U+090F> <U+0001F44F><U+0001F44F>","MOHIT CHAURASIYA","4","1","2019-09-16T08:26:22.000Z","Ugyv0TYnrD5wQHLS76B4AaABAg","None","FALSE","6sbPGzrXbts"
"My bro...How much money you take to change the topic from tourism to rss.....well played my bro.....","Kailash Negi","0","0","2019-09-16T07:29:52.000Z","Ugwz9SXYDJxLS9xREpB4AaABAg","None","FALSE","6sbPGzrXbts"
"Asli DNA Choudhary nhi Rathi deta hai","Mayank'z Sharma","0","0","2019-09-16T07:13:31.000Z","UgyivdxCgQkbKD6AslV4AaABAg","None","FALSE","6sbPGzrXbts"
"You are right bro. Modi is  very insensitive minister.","Jwngsar Steve Narzary","0","5","2019-09-16T06:35:14.000Z","UgwE39e9U5eH1k8o0it4AaABAg","None","FALSE","6sbPGzrXbts"
"Statue of *UNITY*
Someone asks question
""Salle Deshdrohi Pakistan chala ja Mulle""
Statue of *UNITY*","U S Ti","2","9","2019-09-16T06:14:46.000Z","UgzPRIyjkk10x4AIcXR4AaABAg","None","FALSE","6sbPGzrXbts"
"Good","Kabir Singh","0","0","2019-09-16T05:04:56.000Z","Ugz21If4XpNYKTixoER4AaABAg","None","FALSE","6sbPGzrXbts"
"Sardar ballav Bhai Patel duniya ke sabse bada nets the","Suraj Singh","0","0","2019-09-16T05:00:41.000Z","UgxBCKGkDKqAUrRZFSB4AaABAg","None","FALSE","6sbPGzrXbts"
"Phoebe Indian kongres to kha nahi gehe","MORPH Omiyo","0","0","2019-09-16T01:07:05.000Z","UgzhKAwd9nYz43-2hep4AaABAg","None","FALSE","6sbPGzrXbts"
"78k modi bhakt","Lucifer King","0","0","2019-09-15T22:20:35.000Z","UgwZ0sqsmx6L7A708nR4AaABAg","None","FALSE","6sbPGzrXbts"
"If we tell anything against statue of unity..then we are ""anti national"".","Aw Ruman","0","5","2019-09-15T21:15:16.000Z","UgzbXtJKU0mHHuLe3UB4AaABAg","None","FALSE","6sbPGzrXbts"
"How dumb is he? Buddha's Statue was made on 2002 at that time the price of Cu was aroung 1500$ per ton and in 2014 it was around 7000$ thats basic infation multiply that with the amount used, you will get around 157Million dollars for statue of unity just including the fee of cu.","Let Wrestling In","0","0","2019-09-15T21:14:44.000Z","UgxVXixp8QfuOFohGbx4AaABAg","None","FALSE","6sbPGzrXbts"
"Statue ki attraction Jo choro....ye statue bnana ek bewakufi h...usse better har gaon m 1 school aur ek clinic banate to logo ki Jaan bachi rhti","Aman Gamps","0","0","2019-09-15T19:58:58.000Z","Ugy8mYa-A87MvAGUK614AaABAg","None","FALSE","6sbPGzrXbts"
"Modi humare tax ka Paisa barbad ker rha he<U+0001F62B><U+0001F62B><U+0001F62B>","sadhana kaithwar","0","1","2019-09-15T19:35:21.000Z","UgwtzRWXfTPHOcygZEN4AaABAg","None","FALSE","6sbPGzrXbts"
"Truth","Ajay kumar pradhan","0","0","2019-09-15T18:55:34.000Z","UgwySy7WFw--gGtoXJ94AaABAg","None","FALSE","6sbPGzrXbts"
"This is the most important point we all consider but what can we do now. We do our hard work pay taxes and at the end they make statues instead of giving our youth more opportunities. Please make video to solve this issue and what youth can contribute to solve this which will create more opportunities. I will be more than happy to help. Respect for you increases day by day. Keep inspiring. :)","Ankit Gupta","0","0","2019-09-15T18:37:10.000Z","Ugy-TYEZtSkh3owFv1x4AaABAg","None","FALSE","6sbPGzrXbts"
"<U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602> I loved the sarcasm when you said Modiji ne 5 sal main kya kiya tha?????","nazma khan","0","0","2019-09-15T18:22:34.000Z","Ugw6x2sRJ8cDK5UcL_p4AaABAg","None","FALSE","6sbPGzrXbts"
"Tujhe agar itna pata hein toh IAS banjata ...bekar banke youtubt kyun chala raha hein","AME creation","0","0","2019-09-15T18:22:05.000Z","UgxW_1XX4LzENCdOapp4AaABAg","None","FALSE","6sbPGzrXbts"
"Agar modi ji bekar hein toh tu banja Pm aukat mein reh","AME creation","0","0","2019-09-15T18:20:36.000Z","UgzyyEL6x-KjvFKcbp94AaABAg","None","FALSE","6sbPGzrXbts"
"Sab tu janta hein hum toh kuch nahi jante","AME creation","0","0","2019-09-15T18:19:24.000Z","Ugy5PtDLACP0SaxvI0R4AaABAg","None","FALSE","6sbPGzrXbts"
"Bitcoin kyun band kiya bhosdiwalon <U+0001F620>","Happy Geek","0","0","2019-09-15T18:08:11.000Z","UgwbttpX4Qmu1IRY_o94AaABAg","None","FALSE","6sbPGzrXbts"
"hamari aabadi 125 crore hai,, agar 3000 crore ko garibo me distribute kar dia jata to sayad sabhi garib amir ho jate..2 crore 40 lakh harek admi ko mil jata . or sabhi crore pati ho jate...","suraj sharma","0","0","2019-09-15T15:49:17.000Z","UgxNKoptreTun7hpW654AaABAg","None","FALSE","6sbPGzrXbts"
"Sahi bat hai","Angel Priya","0","0","2019-09-15T15:27:29.000Z","UgyYvkW9Ybu9NjHqDSR4AaABAg","None","FALSE","6sbPGzrXbts"
"What I would do is... I would open up a museum  of Sardar Vallabhbhai Patel and put a tall statue of Sardar ji in the museum and put a note that the project to build a real statue would be 3000 crores instead we made this museum for 1 cr. and used the 3000 crores for development of welfare..","Abhinav Lanka","0","0","2019-09-15T15:06:14.000Z","Ugy3a6EtUleqycEikZl4AaABAg","None","FALSE","6sbPGzrXbts"
"This guy spitting straight facts <U+0001F525><U+0001F525>","Pranay Das","0","7","2019-09-15T13:02:33.000Z","UgzaWSnVoB4RUiYEI914AaABAg","None","FALSE","6sbPGzrXbts"
"You’re right","Subhan Ali","0","0","2019-09-15T12:46:08.000Z","UgxQDxW4w1hlm8xanRx4AaABAg","None","FALSE","6sbPGzrXbts"
"Koi Dhandha nhi khola h jo hisaab kitaab lga rkha h, Some things are above your small mentality","Dipesh Rana Fitness","0","0","2019-09-15T11:24:11.000Z","Ugw1DUvLhziiHDYV65J4AaABAg","None","FALSE","6sbPGzrXbts"
